dims,k,ari,gap_silhouette,gap_davies_bouldin,gap_calinski_harabasz,gap_inertia,cl_inertia,cl_silhouette,cl_davies_bouldin,cl_calinski_harabasz,qkm_inertia,qkm_silhouette,qkm_davies_bouldin,qkm_calinski_harabasz
15,8,0.1937685990882267,-0.01983872856347868,-2.3576996362956266,-4.9535567901822635,6596.7721122128405,6730.229809478335,0.026047250737484172,2.576759074723167,8.507889706579714,133.45769726549383,0.006208522174005492,4.934458711018793,3.554332916397451
15,9,0.19782477863377593,-0.004027529267580498,-1.0356279906274435,-3.407478331112359,6443.474070697193,6566.773053754853,0.0259203060815283,2.380938967257501,8.264946388780835,123.29898305765957,0.0218927768139478,3.4165669578849447,4.857468057668476
15,10,0.2012052524668955,-0.022019955176812815,-1.0872927028323578,-4.09004469331977,6270.2451119683965,6390.099645821412,0.050010090339763995,2.34618949857644,8.96786714426881,119.85453385301592,0.02799013516295118,3.433482201408798,4.87782245094904
20,2,0.007075871483458098,-0.1079370714337391,-5.369961910492359,-20.46714141116126,7961.652066523917,8115.187896992475,0.1175559122342473,2.5868755892850017,22.814243472607277,153.5358304685578,0.00961884080050821,7.956837499777361,2.3471020614460167
20,3,0.12064772679592815,-0.07065144322884298,-2.3595471531364063,-12.123037452233511,7589.83654631835,7737.408835930754,0.0920801619727853,2.8119926384064855,16.42752439499638,147.5722896124045,0.02142871874394232,5.171539791542892,4.304486942762868
20,4,0.14904473735629098,-0.07440231736324085,-2.5443346292516353,-10.670476253628598,7307.013592542771,7453.613383806706,0.08298095610431898,2.728758414585094,13.876397525789175,146.59979126393495,0.008578638741078127,5.273093043836729,3.205921272160577
20,5,0.26150549538102846,-0.05547122400709087,-2.1303885033148413,-7.9492176501001275,7061.094108888733,7202.2413347496595,0.06689346225114393,2.7017946081900943,11.888408561074028,141.14722586092608,0.01142223824405306,4.832183111504936,3.939190910973901
20,6,0.2233793923490098,-0.04181437972492863,-1.2659756404711007,-6.071391994990679,6943.138786068674,7078.641491702717,0.06100849417168874,2.748668362805525,10.581963004356053,135.50270563404283,0.019194114446760113,4.014644003276626,4.510571009365374
20,7,0.2634130076006546,-0.03146156428251598,-0.7622449732002639,-4.848738408816137,6710.658836325155,6841.240217780438,0.05541020793667714,2.676571150876172,9.659119218501871,130.5813814552832,0.02394864365416116,3.438816124076436,4.810380809685734
20,8,0.13987987413420855,-0.012757774224294098,-0.9845924953137386,-3.2466079377764014,6599.813879075374,6730.229809478335,0.02263264948472338,2.7187293524497065,7.37413755576382,130.41593040296127,0.009874875260429282,3.703321847763445,4.127529617987419
